Player,PlayerIOC,Surface,Matches,EloRank,Elo,EloRankSurface,Wins,Losses,WinPercentage,Titles,PointsWonPercentage,GamesWonPercentage,SetsWonPercentage,DecSets,DecSetWins,DecSetWinPercentage,TieBreaks,TieBreaksWon,TieBreaksWonPercentage,ServiceGamesWonPercentage,ReturnGamesWonPercentage,EloServeRank,EloServe,FirstServePercentage,FirstServeWonPercentage,SecondServeWonPercentage,ServicePointsWonPercentage,Aces,AcePercentage,AcesPerServiceGame,DoubleFaultPercentage,DoubleFaultsPerServiceGame,AcesPerDoubleFault,BreakPointsFacedPerServiceGame,BreakPointsSavedPercentage,EloReturnRank,EloReturn,FirstServeReturnPointsWonPercentage,SecondServeReturnPointsWonPercentage,ReturnPointsWonPercentage,AceAgainstPercentage,AcesAgainstPerReturnGame,BreakPointChancesPerReturnGame,BreakPointsConvertedPercentage
Christopher Eubanks,USA,Grass,12,84,1674,18,9,3,0.75,1,0.50563,0.52311,0.64103,6,4,0.66667,14,10,0.71429,0.90521,0.12,20,1624,0.7188,0.78132,0.51124,0.70537,187,0.14771,0.88626,0.03476,0.20853,4.25,0.24171,0.60784,361,1417,0.21271,0.44543,0.29836,0.11311,0.69,0.33,0.36364
Christopher Eubanks,USA,Hard,24,84,1674,94,9,15,0.375,0,0.48559,0.4846,0.41935,8,3,0.375,16,6,0.375,0.86364,0.1068,20,1624,0.68741,0.72038,0.54369,0.66515,248,0.12544,0.80519,0.03035,0.19481,4.13333,0.4513,0.69784,361,1417,0.2285,0.40916,0.29278,0.0994,0.59223,0.3657,0.29204
Michael Mmoh,USA,Hard,15,85,1673,90,9,6,0.6,0,0.50306,0.51302,0.5641,4,3,0.75,7,4,0.57143,0.82632,0.20619,122,1527,0.66667,0.73141,0.47482,0.64588,117,0.09353,0.61579,0.05036,0.33158,1.85714,0.54211,0.67961,66,1536,0.25594,0.52252,0.35441,0.12729,0.78866,0.47423,0.43478
Dominic Stricker,SUI,Hard,14,86,1671,95,6,8,0.42857,0,0.49743,0.48276,0.48485,6,3,0.5,12,7,0.58333,0.80693,0.16176,51,1582,0.56901,0.75177,0.51685,0.65052,110,0.08878,0.54455,0.02825,0.17327,3.14286,0.4604,0.58065,145,1510,0.25445,0.5,0.34992,0.10109,0.63725,0.4951,0.32673
Alexandre Muller,FRA,Clay,12,87,1670,78,5,7,0.41667,0,0.48075,0.46923,0.37037,2,2,1,6,2,0.33333,0.73438,0.21212,157,1512,0.62604,0.64461,0.51899,0.59763,34,0.04024,0.26562,0.0213,0.14062,1.88889,0.64062,0.58537,32,1560,0.26397,0.52,0.36709,0.08976,0.59091,0.59848,0.35443
Alexandre Muller,FRA,Hard,17,87,1670,131,5,12,0.29412,0,0.48831,0.46056,0.36585,4,0,0,9,4,0.44444,0.70769,0.21717,157,1512,0.63587,0.67118,0.48172,0.60219,74,0.05795,0.37949,0.02741,0.17949,2.11429,0.59487,0.50862,32,1560,0.29479,0.50199,0.37548,0.08922,0.58081,0.55051,0.3945
Corentin Moutet,FRA,Clay,15,88,1669,70,7,8,0.46667,0,0.50217,0.49635,0.48837,9,4,0.44444,7,4,0.57143,0.7561,0.23786,200,1495,0.66618,0.66593,0.5298,0.62049,28,0.02063,0.13659,0.01842,0.12195,1.12,0.60976,0.6,20,1568,0.34341,0.4739,0.3879,0.03345,0.22816,0.66019,0.36029
Corentin Moutet,FRA,Grass,9,88,1669,89,4,5,0.44444,0,0.49499,0.49107,0.47619,1,0,0,5,3,0.6,0.8018,0.18584,200,1495,0.62101,0.70236,0.50877,0.62899,51,0.06782,0.45946,0.0492,0.33333,1.37838,0.58559,0.66154,20,1568,0.29876,0.47148,0.35973,0.0443,0.29204,0.69027,0.26923
Corentin Moutet,FRA,Hard,8,88,1669,105,1,7,0.125,0,0.45195,0.40625,0.11765,0,0,,2,0,0,0.63291,0.18519,200,1495,0.62633,0.61648,0.42857,0.54626,13,0.02313,0.16456,0.02491,0.17722,0.92857,1.01266,0.6375,20,1568,0.24667,0.49735,0.34356,0.03067,0.18519,0.40741,0.45455
Lorenzo Sonego,ITA,Clay,17,89,1668,84,8,9,0.47059,0,0.49386,0.4877,0.48936,6,3,0.5,7,4,0.57143,0.80822,0.17982,63,1565,0.65793,0.72013,0.51702,0.65066,69,0.05022,0.31507,0.02838,0.17808,1.76923,0.52968,0.63793,282,1458,0.27784,0.44752,0.33931,0.04735,0.28947,0.4386,0.41
Lorenzo Sonego,ITA,Grass,6,89,1668,41,2,4,0.33333,0,0.49951,0.5,0.375,2,1,0.5,5,2,0.4,0.87179,0.1375,63,1565,0.71698,0.74561,0.51852,0.68134,52,0.10901,0.66667,0.02096,0.12821,5.2,0.51282,0.75,282,1458,0.24633,0.49754,0.34007,0.09191,0.625,0.4875,0.28205
Lorenzo Sonego,ITA,Hard,32,89,1668,70,14,18,0.4375,0,0.49173,0.47945,0.42683,12,8,0.66667,14,7,0.5,0.80941,0.14536,63,1565,0.66379,0.7142,0.51869,0.64847,230,0.09034,0.56931,0.02003,0.12624,4.5098,0.4901,0.61111,282,1458,0.27238,0.42842,0.33051,0.03879,0.2406,0.40351,0.36025
